"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","177","seleciona um produto (YouTube) por seu value","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:02 GMT 2025","passed","Thu May 29 17:59:02 GMT 2025","","","",""
"","182","seleciona um produto (Blog) por seu indice","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:03 GMT 2025","passed","Thu May 29 17:59:03 GMT 2025","","","",""
"","1275","congelando o relógio para exibir mensagem de sucesso","Execricios extras","Thu May 29 17:58:46 GMT 2025","passed","Thu May 29 17:58:47 GMT 2025","","","",""
"","1282","exibe mensagem de erro ao submeter o formulário com um email com formatação inválida","Central de Atendimento ao Cliente TAT","Thu May 29 17:58:55 GMT 2025","passed","Thu May 29 17:58:56 GMT 2025","","","",""
"","182","seleciona um produto (Blog) por seu texto","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:02 GMT 2025","passed","Thu May 29 17:59:02 GMT 2025","","","",""
"","129","marca o tipo de atendimento ""Elogio","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:04 GMT 2025","passed","Thu May 29 17:59:04 GMT 2025","","","",""
"","261","marca ambos checkboxes, depois desmarca o último","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:04 GMT 2025","passed","Thu May 29 17:59:05 GMT 2025","","","",""
"","65","exibe e oculta as mensagens de sucesso e erro usando .invoke()","Execricios extras","Thu May 29 17:58:47 GMT 2025","passed","Thu May 29 17:58:47 GMT 2025","","","",""
"","124","exemplo do uso do contains","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:01 GMT 2025","passed","Thu May 29 17:59:01 GMT 2025","","","",""
"","115","verifica o título da aplicação","Central de Atendimento ao Cliente TAT","Thu May 29 17:58:53 GMT 2025","passed","Thu May 29 17:58:53 GMT 2025","","","",""
"","125","seleciona um arquivo da pasta fixtures","Upload de Arquivos","Thu May 29 17:59:09 GMT 2025","passed","Thu May 29 17:59:09 GMT 2025","","","",""
"","1366","preenche os campos obrigatórios e envia o formulário","Central de Atendimento ao Cliente TAT","Thu May 29 17:58:53 GMT 2025","passed","Thu May 29 17:58:55 GMT 2025","","","",""
"","178","seleciona um produto (YouTube) por seu texto","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:01 GMT 2025","passed","Thu May 29 17:59:01 GMT 2025","","","",""
"","54","preenche o campo da área de texto usando o comando invoke","Execricios extras","Thu May 29 17:58:47 GMT 2025","passed","Thu May 29 17:58:47 GMT 2025","","","",""
"","1102","exibe mensagem de erro quando telefone se torna obrigatório mas não é preenchido antes do envio do formulário","Central de Atendimento ao Cliente TAT","Thu May 29 17:58:56 GMT 2025","passed","Thu May 29 17:58:58 GMT 2025","","","",""
"","1284","preenche e limpa os campos nome, sobrenome, email e telefone","Central de Atendimento ao Cliente TAT","Thu May 29 17:58:58 GMT 2025","passed","Thu May 29 17:58:59 GMT 2025","","","",""
"","759","faz uma requisição HTTP","Execricios extras","Thu May 29 17:58:47 GMT 2025","passed","Thu May 29 17:58:48 GMT 2025","","","",""
"","101","achar o gato escondido","Execricios extras","Thu May 29 17:58:48 GMT 2025","passed","Thu May 29 17:58:48 GMT 2025","","","",""
"","183","seleciona um produto (Mentoria) por seu indice","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:03 GMT 2025","passed","Thu May 29 17:59:03 GMT 2025","","","",""
"","971","envia o formulário com sucesso usando um comando customizado","Central de Atendimento ao Cliente TAT","Thu May 29 17:58:59 GMT 2025","passed","Thu May 29 17:59:00 GMT 2025","","","",""
"","182","seleciona um produto (Cursos) por seu texto","Central de Atendimento ao Cliente TAT","Thu May 29 17:59:02 GMT 2025","passed","Thu May 29 17:59:02 GMT 2025","","","",""
"","80","seleciona um arquivo simulando drag-and-drop","Upload de Arquivos","Thu May 29 17:59:09 GMT 2025","passed","Thu May 29 17:59:09 GMT 2025","","","",""
"","105","testa a página da política de privacidade de forma independente","","Thu May 29 17:59:07 GMT 2025","passed","Thu May 29 17:59:07 GMT 2025","","","",""
"","171","acessa a página da plítica de privacidade removendo o target e então clicando no lik","Trabalhando com novas Abas","Thu May 29 17:58:51 GMT 2025","passed","Thu May 29 17:58:51 GMT 2025","","","",""
"","81","seleciona um arquivo utilizando uma fixture para a qual foi dada um alias","Upload de Arquivos","Thu May 29 17:59:10 GMT 2025","passed","Thu May 29 17:59:10 GMT 2025","","","",""
